Company Name,Price,High,Low,Pct Increase
Procter & Gamble Health Ltd.,5953,6190,2927.8,103.32673
PTC India Ltd.,54.35,68.45,32.4,67.74691358
PVR Ltd.,1300.55,2082.75,706.52,84.07829927
Quess Corp Ltd.,405,639.05,165.4,144.8609432
Radico Khaitan Ltd.,454.4,471.75,220,106.5454545
Rail Vikas Nigam Ltd.,18.85,29.3,10.2,84.80392157
Rain Industries Ltd.,104.1,128.9,44.9,131.8485523
Rajesh Exports Ltd.,466.3,802,440.8,5.784936479
Rallis India Ltd.,247.3,340,127.1,94.57120378
The Ramco Cements Ltd.,864.45,883.3,456.5,89.36473165
Rashtriya Chemicals and Fertilisers Ltd.,45.7,59.8,22.05,107.2562358
Ratnamani Metals and Tubes Ltd.,1544,1551.2,715.55,115.7780728
Raymond Ltd.,294.8,795,209.5,40.71599045
RBL Bank Ltd.,212.3,391.05,101.6,108.9566929
REC Ltd.,115.45,157.25,79,46.13924051
Redington (India) Ltd.,129.5,139.85,60,115.8333333
Relaxo Footwears Ltd.,751.5,830.15,493.05,52.4186188
Reliance Industries Ltd.,1992.9,2368.8,867.45,129.7423483
Repco Home Finance Ltd.,246,365.5,90.75,171.0743802
RITES Ltd.,246.1,331,191,28.84816754
S H Kelkar & Company Ltd.,131.4,138.35,47.6,176.0504202
Steel Authority of India Ltd.,40.3,51.85,20.15,100
Sanofi India Ltd.,8084.8,8999,5900.05,37.02934721
State Bank of India,240.2,351,149.55,60.61517887
SBI Life Insurance Company Ltd.,862.7,1025.55,520,65.90384615
Schaeffler India Ltd.,3795.2,4950,3044.1,24.67395946
Schneider Electric Infrastructure Ltd.,85.6,113.9,58,47.5862069
Sheela Foam Ltd.,1359.45,1770,1101,23.47411444
Shilpa Medicare Ltd.,428.75,692.45,240.3,78.42280483
Shipping Corporation of India Ltd.,52.9,69.8,31.65,67.14060032
Shoppers Stop Ltd.,187.85,446.6,131.35,43.01484583
Shree Cements Ltd.,23866.95,25341.2,15500,53.98032258
Shriram City Union Finance Ltd.,933,1571.65,617,51.21555916
Shriram Transport Finance Corporation Ltd.,857.5,1331.8,428.7,100.0233263
Siemens Ltd.,1405.85,1694.55,947,48.4530095
Security & Intelligence Services India Ltd.,384,555.5,313.65,22.42945959
SJVN Ltd.,22.7,27.3,17.15,32.36151603
SKF India Ltd.,1570.8,2313,1237.5,26.93333333
Sobha Ltd.,306.75,463.3,117.9,160.178117
Solar Industries India Ltd.,978.05,1350,772.05,26.6822097
Somany Ceramics Ltd.,258.55,265.5,77,235.7792208
Sonata Software Ltd.,345,378.3,148.1,132.950709
South Indian Bank Ltd.,6.69,11.47,4.85,37.93814433
SpiceJet Ltd.,59.1,120,30.8,91.88311688
SRF Ltd.,5057.6,5185,2492.2,102.937164
